id_bien,type_voie,VOIE ,surface_carrez,type_local,surface_reel,nb_pieces,id_codedep_codecommune
95,RUE,NEUVE,"41,82",Appartement,47,1,1262
96,RUE,FERNAND THUILLART,"165,11",Appartement,156,6,2408
97,RUE,DENAIN,"124,01",Appartement,77,3,3190
98,RES,LES CHENEVRIERS,"24,32",Appartement,25,1,4073
99,PL,DE L ENGIEN,"106,43",Appartement,133,4,4166
100,PL,DU DOCTEUR ROBERT,"32,89",Appartement,33,1,4209
101,AV,NIQUET,"37,66",Appartement,41,2,6004
102,CHE,DE SAINT LAURENT,"58,42",Appartement,58,3,6027
103,RUE,ROSSINI,"99,04",Appartement,98,4,6088
104,RUE,LAMARTINE,"30,2",Appartement,95,3,6088
105,AV,VALROSE,"68,75",Appartement,68,3,6088
106,AV,VICTOR CAUVIN,"56,05",Appartement,58,2,6159
107,IMP,DU CHANT DE L ALOUETTE,"55,5",Appartement,52,3,10323
108,RUE,DU 14 JUILLET,"53,09",Appartement,51,3,13119
109,RUE,FRANCIS DAVSO,"48,24",Appartement,50,2,13201
110,RUE,BOSCARY,"28,4",Appartement,30,1,13204
111,RUE,CRUDERE,"51,01",Appartement,51,3,13206
112,BD,GUSTAVE GANAY,"51,54",Appartement,52,3,13209
113,RUE,AUX NAMPS,"34,83",Appartement,59,2,14118
114,RUE,PESTEL,"12,44",Appartement,13,1,14333
115,AV,P CASSAGNAVERE,"53,76",Appartement,53,2,14715
116,RUE,CHARLES KOECHLIN,"52,82",Maison,32,2,14754
117,AV,DENFERT ROCHEREAU,"32,18",Appartement,33,1,17300
118,RUE,DES MENDRIES,"49,9",Maison,50,3,17414
119,RES,DE LA HAUTE RIVE,"68,3",Appartement,67,4,22113
120,RUE,ANATOLE LE BRAZ,"54,42",Appartement,57,2,22168
121,BD,DE L ATLANTIQUE,64,Appartement,64,4,22278
122,AV,DAUMESNIL,"31,05",Appartement,33,1,24322
123,CHE,DES GOUILLOTTES,"127,96",Appartement,147,5,25527
124,RUE,DU FAUBOURG ST JEAN,"106,03",Maison,105,5,28085
125,RUE,THEAULON,"32,29",Appartement,50,2,30003
126,QUAI,DE BILINA,"39,5",Appartement,39,2,30007
127,RUE,DES ANEMONES,20,Appartement,19,1,30133
128,RUE,ARNAVIELLE,"60,07",Appartement,60,3,30189
129,RUE,DAUMESNIL,54,Appartement,57,2,32013
130,BD,DE LA REPUBLIQUE,"44,12",Appartement,44,2,33005
131,RUE,DU TONDU,"61,16",Appartement,60,4,33063
132,RUE,DES HIRONDELLES,"86,3",Maison,86,4,33075
133,RUE,LAURENT FIGNON,"39,23",Appartement,45,2,33550
134,AV,PASTEUR,"24,6",Appartement,24,1,34023
135,RUE,HENRI HERTZ,"42,2",Appartement,42,2,37261
136,ALL,DES ERABLES,"63,1",Appartement,70,3,37261
137,RUE,DOYEN GOSSE,21,Appartement,20,1,38169
138,PL,BIR HAKEIM,"95,74",Appartement,95,3,38185
139,AV,DE LA MUZELLE MT DE LANS,"60,55",Appartement,62,3,38253
140,AV,GABRIELE  D ANNUNZIO,"29,78",Maison,25,1,40046
141,AV,VICTOR HUGO,"18,63",Appartement,19,1,40088
142,AV,DU MARENSIN,"82,35",Maison,47,3,40304
143,CHE,DES GREFFIERS,"94,39",Maison,93,4,42256
144,BD,DE L EGALITE,"62,14",Appartement,64,3,44109
145,RUE,BONNE GARDE,"47,34",Appartement,47,2,44190
146,RUE,PAUL VERLAINE,"42,25",Appartement,42,2,44204
147,FG,SAINT VINCENT,"65,71",Appartement,65,3,45234
148,ALL,DES ERABLES,"72,37",Appartement,69,1,45286
149,RTE,DE COUTANCES,"57,88",Appartement,47,2,50002
150,IMP,DES CARMELITES,"119,95",Appartement,121,4,51454
151,RUE,DES SOEURS MACARONS,"36,6",Appartement,38,2,54395
152,RES,DE PORH MEN GUEN,"97,51",Appartement,105,3,56062
153,AV,SIMONE,"80,09",Appartement,80,3,59368
154,RUE,JEAN JAURES,"29,73",Maison,30,2,59378
155,RUE,HENRI DURRE,"153,25",Maison,139,5,59491
156,RUE,AMPERE,41,Appartement,37,1,60159
157,RUE,DU GENERAL MANGIN,"220,72",Maison,210,8,60159
158,IMP,JEAN DE LA FONTAINE,"30,38",Appartement,30,2,60382
159,AV,JACQUES CARTIER,"72,91",Appartement,74,4,60395
160,AV,DE LA GARE,"67,47",Appartement,68,3,60524
161,PL,GRAND PLACE,"45,5",Appartement,45,2,62041
162,RUE,HIPPOLYTE GOMOT,"62,72",Appartement,47,2,63300
163,AV,DE LA GARE,"108,84",Appartement,109,4,69003
164,RUE,DES COLLONGES,"43,25",Appartement,43,2,69204
165,RUE,ETIENNE POULET,"78,72",Appartement,71,3,69264
166,RUE,SAINT PIERRE DE VAISE,"32,82",Appartement,38,1,69389
167,PL,DE LA RHODIACETA,"75,31",Appartement,75,3,69389
168,RUE,DE LA BANQUE,"75,87",Appartement,76,4,70550
169,RUE,D ALSACE LORRAINE,"168,38",Appartement,106,4,70550
170,RTE,DES MOULINS,"21,29",Appartement,21,1,74014
171,RTE,DE LA SAUGE,"76,14",Appartement,76,3,74249
172,RUE,SAINT DENIS,"36,91",Appartement,37,3,75102
173,RUE,DE SAINTONGE,66,Appartement,12,1,75103
174,RUE,SAINT PAUL,"25,34",Appartement,25,2,75104
175,RUE,DES BOULANGERS,"21,34",Appartement,20,1,75105
176,RUE,DE BUCI,"28,55",Appartement,28,1,75106
177,RUE,COGNACQ JAY,"82,62",Appartement,83,3,75107
178,AV,CLAUDE VELLEFAUX,"30,18",Appartement,31,2,75110
179,RUE,PLICHON,"58,45",Appartement,56,3,75111
180,AV,PHILIPPE AUGUSTE,"31,12",Appartement,30,2,75111
181,RUE,TRAVERSIERE,"44,95",Appartement,50,2,75112
182,RUE,DE L ABBE CARTON,"25,06",Appartement,26,1,75114
183,RUE,MARMONTEL,"37,38",Appartement,37,2,75115
184,RUE,EMERIAU,"99,96",Appartement,97,6,75115
185,RUE,LEGENDRE,"63,16",Appartement,75,3,75117
186,RUE,MSTISLAV ROSTROPOVITCH,"47,12",Appartement,47,2,75117
187,RUE,LEPIC,"53,01",Appartement,50,3,75118
188,RUE,DUHESME,"52,46",Appartement,51,3,75118
189,RUE,DAMREMONT,"52,24",Appartement,50,2,75118
190,RUE,DES POISSONNIERS,"29,13",Appartement,30,2,75118
191,RUE,DE TORCY,"67,8",Appartement,68,3,75118
192,RUE,HENRI CHEVREAU,"21,01",Appartement,25,1,75120
193,RUE,MICHEL DUBOSC,"19,9",Appartement,20,1,76351
194,RUE,HENRY LEMONNIER,"45,84",Appartement,30,1,76447
195,RUE,ROBERT DE THORIGNY,"39,3",Appartement,39,2,76451
196,RUE,DU GENERAL DE GAULLE,"32,99",Appartement,29,2,77005
197,RUE,REMY DUMONCEL,"24,06",Appartement,25,1,77014
198,RUE,KONRAD ADENAUER,"53,6",Appartement,53,2,77058
199,AV,DU GENERAL DE GAULLE,"31,42",Appartement,31,1,77058
200,RUE,DE CHAMPAGNE,"111,15",Maison,102,5,77059
201,SQ,DU PETIT MARGAT,"60,25",Appartement,60,3,77192
202,CHE,DU GAZON,"75,06",Maison,76,4,77259
203,RUE,LOUVIOT,"33,49",Appartement,33,2,77288
204,RUE,DE VAUX,"44,94",Appartement,45,2,77288
205,RUE,DU TEMPLE,"66,54",Appartement,76,3,77379
206,AV,DE POISSY,"42,2",Appartement,42,2,78005
207,SQ,DES AUBADES,"67,6",Appartement,66,4,78372
208,RES,DE LA SABOTTE,"53,05",Appartement,55,3,78372
209,SQ,DU JURANCON,"27,81",Appartement,28,1,78383
210,RUE,LOUIS PASTEUR,"101,85",Maison,107,6,78550
211,CITE,LA GARENNE A BREFAUT,"55,06",Appartement,51,3,78621
212,RUE,DE L OCCIDENT,"80,38",Appartement,82,4,78646
213,RUE,DES LILAS,"71,05",Maison,71,3,82096
214,CHE,DE L ESCOURCHE,"37,6",Appartement,51,2,83009
215,BD,DES GRAVIERS,"15,2",Appartement,15,1,83009
216,RES,LE ST VINCENT,"29,85",Appartement,30,2,83034
217,AV,PIERRE DE COUBERTIN,"64,84",Appartement,64,3,83070
218,RES,LES TROIS TOURS 2,"37,82",Appartement,37,2,85035
219,AV,DU LITTORAL,"64,41",Appartement,64,3,85127
220,RUE,FIEF DES COUTS,"63,63",Appartement,64,3,85194
221,RUE,DU BAS RUET,"88,5",Maison,88,4,85262
222,RUE,JULES FERRY,"81,24",Appartement,82,3,88372
223,RUE,DE COLMAR,"42,25",Appartement,44,2,90010
224,RUE,DE CRONSTADT,56,Appartement,56,3,90010
225,RUE,DES 3 CHENES,"69,17",Appartement,63,4,91114
226,RES,LES BOIS DU CERF,"146,94",Maison,168,6,91225
227,RUE,MONTTESSUY,49,Appartement,49,3,91326
228,ALL,D'AUTRICHE,"93,02",Appartement,96,5,91377
229,RTE,D ORLEANS RN 20,40,Appartement,44,2,91425
230,ALL,DES ERABLES,"115,97",Maison,118,5,91570
231,AV,ROBERT LEUTHREAU,90,Maison,45,2,91589
232,RUE,BERNARD JUGAULT,"67,23",Appartement,66,4,92004
233,RUE,DES BOURGUIGNONS,"40,69",Appartement,40,3,92004
234,RUE,DU R P CH GILBERT,"54,2",Appartement,54,2,92004
235,RUE,CLAUDE MIVIERE,"52,47",Appartement,52,3,92009
236,IMP,BELLEVUE,"65,62",Appartement,56,1,92012
237,RUE,GALLIENI,"87,15",Appartement,88,4,92012
238,ALL,ROBERT DOISNEAU,"23,8",Appartement,23,1,92012
239,RUE,SAINT DENIS,"31,2",Appartement,29,2,92012
240,RUE,FESSART,"78,02",Appartement,119,4,92012
241,RUE,PAUL HENRY THILLOY,"76,85",Appartement,77,1,92014
242,AV,ROGER SALENGRO,"59,73",Appartement,50,3,92022
243,AV,HENRI BARBUSSE,"40,8",Appartement,74,3,92023
244,RUE,SAINT DENIS,"61,06",Appartement,62,3,92025
245,RUE,PAUL BERT,"38,05",Appartement,35,2,92025
246,RUE,VICTOR HUGO,"32,02",Appartement,32,2,92025
247,RUE,DE LA SABLIERE,"94,32",Appartement,92,4,92026
248,SQ,DES COLONNES,"61,97",Appartement,63,3,92048
249,RUE,DE L'OUEST,"61,93",Appartement,61,3,92050
250,RUE,DU GUE,"25,16",Appartement,25,1,92063
251,RUE,DE LA BENARDE,"46,75",Appartement,46,2,92063
252,SQ,RONSARD,"48,5",Appartement,47,2,92063
253,RUE,LOUIS BLANC,"44,17",Appartement,43,2,92075
254,RUE,DU MOUTIER,35,Appartement,35,2,93001
255,RUE,SADI CARNOT,"30,45",Appartement,30,2,93006
256,RUE,ARTHUR RIMBAUD,"70,56",Appartement,71,3,93010
257,RUE,KLEBER,"102,46",Appartement,147,6,93048
258,RUE,DU COLONEL FABIEN,"21,13",Appartement,21,1,94016
259,RUE,PAUL CARLE,"41,57",Appartement,42,2,94022
260,RUE,DE TRUCY,"29,07",Appartement,15,1,94033
261,ALL,MULATRESSE SOLITUDE,"68,02",Appartement,67,3,94041
262,RUE,HALIFAX,"73,81",Appartement,76,3,94042
263,RUE,ANQUETIL,"50,08",Appartement,50,2,94052
264,AV,DU BAC,"61,93",Appartement,62,3,94068
265,RUE,DU MOUTIER,"34,2",Appartement,34,2,94071
266,RUE,PIERRE ET MARIE CURIE,"39,39",Appartement,39,2,94076
267,ALL,DE DERRIERE LES JARDINS,"84,23",Appartement,82,4,94079
268,RUE,DE LA JARRY,"50,6",Appartement,50,3,94080
269,AV,PAUL DEROULEDE,"25,14",Appartement,20,1,94080
270,RUE,DE LA BRIQUETERIE,64,Appartement,63,3,95203
271,RUE,DES CAPUCINES,"45,04",Appartement,46,2,95218
272,RUE,DU PAPIER COUCHE,"56,86",Appartement,57,3,95218
273,RUE,DES MARECHAUX,"77,71",Appartement,77,4,95500
274,RUE,GEORGE SAND,"61,05",Appartement,61,3,95572
275,PL,DE L HORLOGE,"105,71",Appartement,119,4,4209
276,RUE,DE VERDUN,"30,09",Appartement,30,2,14079
277,CHE,DE BOIS LURETTE,"30,38",Appartement,30,2,14754
278,RUE,FERRI III,"47,04",Appartement,46,2,54395
279,RTE,DE CUSIN,"63,14",Appartement,62,3,74256
280,RUE,DU ROCHER,"45,61",Appartement,49,2,77014
281,RUE,MARTIN BLEU DIEU,"34,99",Appartement,35,1,80021
282,AV,DU DOCTEUR ROUANET,"67,19",Appartement,67,4,82112
283,RUE,DE LA JUIVERIE,"31,49",Appartement,36,1,91223
